Samples	GCA 	GCDCA 	GHCA 	GHDCA 	GUDCA 	GLCA 	GDCA 	TaMCA 	TbMCA 	TCA 	TCDCA 	THCA 	THDCA/TUDCA 	TLCA 	TDCA 	aMCA 	bMCA 	CA 	CDCA 	wMCA 	HCA 	HDCA 	UDCA 	LCA	DCA 
R2_F	0.501982727	0.573638285	0.0001	0.018418846	0.172406679	0.0001	0.00485253	5.34715008	4.407648646	1.251400145	0.226385343	0.540240657	0.227673587	3.316584917	0.028487368	0.035650555	3.765960268	62.58552014	0.0001	29.81194212	0.416966552	0.0001	128.3077241	1.171310178	23.05373012
R3_D	0.276090203	0.138144516	0.0001	0.0001	0.021157303	0.0001	1.272121879	0.0001	0.0001	0.077870298	0.085133269	0.0001	0.017966708	0.060022116	0.085738169	0.162809982	0.681907334	0.412869174	0.0001	37.66635649	8.500240213	3.811229641	3.385985532	943.9474701	2601.585147
R3_E	0.406102734	0.561176238	0.166004974	0.017817858	0.090705576	57.4096522	2.464429529	0.0001	0.051149852	0.920456697	0.207171544	0.620376879	0.052996813	0.690413659	0.178649286	0.502391368	0.831475536	4.245589514	0.0001	55.90086362	12.11317913	2.022077466	4.632749572	798.762553	2652.101787
R3_F	1.293017475	0.969379973	0.0001	0.0001	0.21871461	276.6066763	9.033474141	0.0001	0.195069752	0.332768631	0.217768002	0.471424569	0.015257838	0.157952107	0.304387002	0.172342747	0.464007603	0.128927449	0.0001	23.27629463	4.519643919	956.8714378	2.331786021	478.5437225	2974.742925
R4_C	0.119239753	6.588962287	0.0001	0.002362838	0.043961385	2068.120633	21.81414867	0.0001	0.0001	0.0001	0.973012082	0.0001	0.010894296	0.28846395	0.87538834	0.055167676	1.543981151	44.81373184	0.0001	0.0001	0.513607476	218.412248	19.12657339	1272.386974	4541.05964
R4_D	0.138255923	6.033728031	0.0001	0.0001	0.533093695	1177.167161	5.613354074	0.0001	0.0001	0.022186237	1.553649324	0.119324067	0.079261946	0.304326706	0.267253247	0.151819162	0.99477428	26.55860058	0.0001	0.982836648	0.107325905	85.83131936	2.884042361	620.8819845	1433.758575
R4_E	0.115885271	0.221922987	0.0001	0.004237275	0.018831339	211.1960798	0.88127061	0.0001	0.0001	0.0001	0.081975061	0.234614971	0.007950963	0.222984535	0.093370133	0.045768485	0.455714389	4.887534077	0.0001	0.067547613	0.316848811	35.30025764	0.435464644	288.4531539	440.4301096
R4_F	0.146424254	0.47173815	0.032121011	0.0001	0.020846137	24.35228888	0.276447969	0.0001	0.0001	0.035825861	0.242942802	0.070887774	0.020244172	0.293261157	0.90475906	0.0001	0.462996646	10.00891982	50.46251175	3.715795686	0.552964636	8.974705971	12.35580535	78.3793804	163.4071072
R5_C	0.0001	0.035905792	0.0001	0.0001	0.0001	0.0001	0.005706356	0.0001	0.0001	0.0001	0.052599773	0.0001	0.002890961	0.038756166	0.011764875	0.0001	0.0001	0.055101557	0.0001	0.073566354	0.0001	0.0001	0.243374879	8.498071418	5.232869194
R5_D	0.0001	0.015566806	0.0001	0.0001	0.0001	0.0001	0.003945599	0.0001	0.0001	0.0001	0.017653446	0.0001	0.002743576	0.028553715	0.011123317	0.0001	0.0001	0.178518561	0.0001	2.345735902	0.054542879	0.0001	0.33256993	32.93996091	6.137402777
R5_E	0.0001	0.022337193	0.0001	0.0001	0.0001	0.0001	0.008550308	0.0001	0.0001	0.0001	0.013473635	0.0001	0.002430322	0.021154009	0.012167324	0.0001	0.0001	2.919145104	3.315899895	0.727751829	0.008371232	0.0001	0.138413094	3.347571547	5.924686124
R6_C	0.0001	0.008116416	0.0001	0.0001	0.0001	0.0001	0.004660621	0.0001	0.0001	0.0001	0.013606334	0.0001	0.002412371	0.007477073	0.01159152	0.0001	0.0001	0.061552819	0.0001	0.08712979	0.0001	0.196081486	0.200357198	31.94282135	3.671721631
R6_D	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.008940641	0.0001	0.0001	0.0001	0.013840039	0.0001	0.002967498	0.020785739	0.032373156	0.0001	0.0001	0.054884103	0.0001	0.063690774	0.0001	0.0001	0.165075842	20.44272412	3.415887789
R6_E	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.006343033	0.0001	0.0001	0.0001	0.012333081	0.0001	0.002668766	0.017873833	0.022385141	0.0001	0.0001	0.0001	0.0001	0.011554497	0.0001	0.0001	0.170668453	13.68467434	3.197847942
